Team,Season,GP,W,L,T,OT,P,ROW,P%,GF,GA,S/O Wins,GF/GP,GA/GP,PP%,PK%,Shots/GP,SA/GP,FOW%
Detroit Red Wings,2005-06,82,58,16,0,8,124,54,.756,301,206,4,3.67,2.51,22.1,85.5,34.1,26.6,52.8
Washington Capitals,2015-16,82,56,18,0,8,120,52,.732,248,191,4,3.02,2.33,21.9,85.2,30.6,28.4,49.6
Washington Capitals,2009-10,82,54,15,0,13,121,49,.738,313,227,5,3.82,2.77,25.2,78.8,32.8,30.9,51.5
Boston Bruins,2013-14,82,54,19,0,9,117,51,.713,258,171,3,3.15,2.09,21.7,83.7,31.9,29.1,51.6
Vancouver Canucks,2010-11,82,54,19,0,9,117,50,.713,258,180,4,3.15,2.20,24.3,85.6,32.0,30.1,54.9
Anaheim Ducks,2013-14,82,54,20,0,8,116,51,.707,263,203,3,3.21,2.48,16.4,82.2,31.3,28.7,49.2
Detroit Red Wings,2007-08,82,54,21,0,7,115,49,.701,252,179,5,3.07,2.18,20.7,84.0,34.4,23.5,53.3
San Jose Sharks,2008-09,82,53,18,0,11,117,47,.713,251,199,6,3.06,2.43,24.2,83.3,33.2,27.2,53.8
Boston Bruins,2008-09,82,53,19,0,10,116,49,.707,270,190,4,3.29,2.32,23.6,82.3,30.3,30.8,51.0
New York Rangers,2014-15,82,53,22,0,7,113,49,.689,248,187,4,3.02,2.28,16.4,84.3,31.5,29.5,46.7
Buffalo Sabres,2006-07,82,53,22,0,7,113,43,.689,298,238,10,3.63,2.90,17.2,81.3,29.5,31.0,51.4
Dallas Stars,2005-06,82,53,23,0,6,112,41,.683,253,217,12,3.09,2.65,17.5,83.7,28.5,25.6,50.3
Colorado Avalanche,2000-01,82,52,16,10,4,118,0,.720,270,192,0,3.29,2.34,22.0,82.7,29.2,25.1,51.3
Ottawa Senators,2002-03,82,52,21,8,1,113,0,.689,263,182,0,3.21,2.22,21.2,84.9,29.8,24.8,47.1
Ottawa Senators,2005-06,82,52,21,0,9,113,50,.689,312,205,2,3.80,2.50,20.8,84.7,34.3,28.6,50.3
Chicago Blackhawks,2009-10,82,52,22,0,8,112,43,.683,262,203,9,3.20,2.48,18.0,85.3,34.1,25.1,52.4
Colorado Avalanche,2013-14,82,52,22,0,8,112,47,.683,245,216,5,2.99,2.63,19.4,80.7,29.5,32.7,49.5
Carolina Hurricanes,2005-06,82,52,22,0,8,112,44,.683,286,258,8,3.49,3.15,17.9,81.8,31.1,30.5,51.7
St. Louis Blues,2013-14,82,52,23,0,7,111,43,.677,239,188,9,2.91,2.29,19.4,85.7,29.3,26.4,51.9
Buffalo Sabres,2005-06,82,52,24,0,6,110,47,.671,276,234,5,3.37,2.85,20.8,86.6,30.6,30.5,49.7
Detroit Red Wings,2001-02,82,51,17,10,4,116,0,.707,251,187,0,3.06,2.28,20.1,86.0,31.0,26.3,51.4
San Jose Sharks,2009-10,82,51,20,0,11,113,44,.689,257,209,7,3.13,2.55,20.7,85.0,31.7,31.4,55.6
Detroit Red Wings,2008-09,82,51,21,0,10,112,45,.683,289,240,6,3.52,2.93,25.5,78.3,36.2,27.7,55.1
Vancouver Canucks,2011-12,82,51,22,0,9,111,43,.677,241,191,8,2.94,2.33,19.8,86.0,31.5,30.8,52.2
San Jose Sharks,2013-14,82,51,22,0,9,111,41,.677,239,193,10,2.91,2.35,17.2,84.9,34.8,27.8,52.8
Nashville Predators,2006-07,82,51,23,0,8,110,45,.671,266,207,6,3.24,2.52,17.4,85.8,27.6,31.2,50.3
Anaheim Ducks,2014-15,82,51,24,0,7,109,43,.665,228,221,8,2.78,2.70,15.7,81.0,30.0,28.9,51.6
St. Louis Blues,2014-15,82,51,24,0,7,109,42,.665,239,197,9,2.91,2.40,22.3,83.7,30.9,27.2,53.4
New York Rangers,2011-12,82,51,24,0,7,109,47,.665,222,182,4,2.71,2.22,15.7,86.2,28.5,27.8,49.9
Pittsburgh Penguins,2013-14,82,51,24,0,7,109,44,.665,242,204,7,2.95,2.49,23.4,85.0,29.9,28.8,51.0
Pittsburgh Penguins,2011-12,82,51,25,0,6,108,42,.659,273,218,9,3.33,2.66,19.4,87.8,33.9,27.4,50.4
San Jose Sharks,2006-07,82,51,26,0,5,107,49,.652,256,197,2,3.12,2.40,22.2,83.3,28.6,26.2,51.1
New Jersey Devils,2008-09,82,51,27,0,4,106,45,.646,238,207,6,2.90,2.52,18.9,79.9,32.9,29.5,51.3
Detroit Red Wings,2006-07,82,50,19,0,13,113,48,.689,252,191,2,3.07,2.33,17.1,84.5,33.8,24.6,53.6
Montréal Canadiens,2014-15,82,50,22,0,10,110,43,.671,214,184,7,2.61,2.24,16.0,83.7,28.5,30.1,52.1
Dallas Stars,2015-16,82,50,23,0,9,109,48,.665,265,228,2,3.23,2.78,22.1,82.3,32.0,28.9,50.2
Tampa Bay Lightning,2014-15,82,50,24,0,8,108,47,.659,259,206,3,3.16,2.51,18.4,83.7,29.6,27.9,49.7
Washington Capitals,2008-09,82,50,24,0,8,108,46,.659,268,240,4,3.27,2.93,24.9,80.6,33.5,29.5,51.7
Phoenix Coyotes,2009-10,82,50,25,0,7,107,36,.652,211,196,14,2.57,2.39,14.6,84.5,30.5,29.6,50.0
Dallas Stars,2006-07,82,50,25,0,7,107,41,.652,217,193,9,2.65,2.35,18.0,84.3,28.0,25.4,50.1
Detroit Red Wings,2000-01,82,49,20,9,4,111,0,.677,253,202,0,3.09,2.46,22.1,85.7,32.3,27.1,54.4
St. Louis Blues,2011-12,82,49,22,0,11,109,45,.665,206,155,4,2.51,1.89,16.7,85.8,30.6,26.7,50.4
San Jose Sharks,2007-08,82,49,23,0,10,108,43,.659,216,187,6,2.63,2.28,18.7,85.8,29.6,24.2,51.2
New Jersey Devils,2006-07,82,49,24,0,9,107,39,.652,206,193,10,2.51,2.35,17.7,85.2,28.7,28.4,49.0
St. Louis Blues,2015-16,82,49,24,0,9,107,44,.652,219,197,5,2.67,2.40,21.5,85.1,30.2,29.7,51.3
Nashville Predators,2005-06,82,49,25,0,8,106,43,.646,253,224,6,3.09,2.73,18.8,84.6,29.0,32.5,53.8
Pittsburgh Penguins,2010-11,82,49,25,0,8,106,39,.646,228,196,10,2.78,2.39,15.8,86.1,31.5,28.7,49.2
Vancouver Canucks,2006-07,82,49,26,0,7,105,44,.640,217,197,5,2.65,2.40,17.2,86.9,29.3,29.2,49.2
Vancouver Canucks,2009-10,82,49,28,0,5,103,45,.628,268,218,4,3.27,2.66,21.2,81.6,30.9,29.5,51.4
Boston Bruins,2011-12,82,49,29,0,4,102,40,.622,260,199,9,3.17,2.43,17.2,83.5,32.4,29.8,54.5
New Jersey Devils,2000-01,82,48,19,12,3,111,0,.677,295,195,0,3.60,2.38,22.9,84.7,31.6,24.7,49.4
Detroit Red Wings,2002-03,82,48,20,10,4,110,0,.671,269,203,0,3.28,2.48,23.8,85.4,29.8,28.8,52.2
Anaheim Ducks,2006-07,82,48,20,0,14,110,44,.671,254,198,4,3.10,2.41,22.1,85.1,31.5,27.4,51.8
Detroit Red Wings,2003-04,82,48,21,11,2,109,0,.665,255,189,0,3.11,2.30,19.7,86.8,30.3,26.2,52.5
Ottawa Senators,2000-01,82,48,21,9,4,109,0,.665,274,205,0,3.34,2.50,18.6,86.4,30.2,27.3,48.5
Washington Capitals,2010-11,82,48,23,0,11,107,43,.652,219,191,5,2.67,2.33,17.5,85.6,31.3,29.0,51.7
Dallas Stars,2000-01,82,48,24,8,2,106,0,.646,241,187,0,2.94,2.28,19.1,86.2,25.6,24.9,51.2
Ottawa Senators,2006-07,82,48,25,0,9,105,46,.640,286,216,2,3.49,2.63,17.9,84.5,32.3,30.2,50.3
San Jose Sharks,2010-11,82,48,25,0,9,105,43,.640,243,208,5,2.96,2.54,23.5,79.6,34.5,28.9,53.7
Pittsburgh Penguins,2015-16,82,48,26,0,8,104,44,.634,241,199,4,2.94,2.43,18.4,84.4,33.2,29.7,50.2
Nashville Predators,2011-12,82,48,26,0,8,104,43,.634,232,205,5,2.83,2.50,20.4,83.6,27.6,30.8,49.0
Minnesota Wild,2006-07,82,48,26,0,8,104,38,.634,225,184,10,2.74,2.24,18.9,86.0,29.6,28.8,47.6
New Jersey Devils,2009-10,82,48,27,0,7,103,42,.628,216,186,6,2.63,2.27,18.7,82.8,30.0,27.0,49.4
New Jersey Devils,2011-12,82,48,28,0,6,102,36,.622,216,205,12,2.63,2.50,16.9,89.6,27.5,26.8,47.1
Chicago Blackhawks,2014-15,82,48,28,0,6,102,39,.622,220,186,9,2.68,2.27,17.6,83.4,33.9,30.2,52.0
Detroit Red Wings,2011-12,82,48,28,0,6,102,39,.622,239,200,9,2.91,2.44,16.1,81.8,32.2,27.0,51.6
Los Angeles Kings,2015-16,82,48,28,0,6,102,46,.622,223,192,2,2.72,2.34,20.0,81.4,32.0,27.5,50.5
Vancouver Canucks,2014-15,82,48,29,0,5,101,42,.616,236,220,6,2.88,2.68,18.9,85.7,29.9,29.8,46.7
Philadelphia Flyers,2010-11,82,47,23,0,12,106,44,.646,256,216,3,3.12,2.63,16.6,82.7,31.8,30.1,50.3
Pittsburgh Penguins,2006-07,82,47,24,0,11,105,37,.640,267,240,10,3.26,2.93,20.3,82.1,28.9,30.9,47.0
Detroit Red Wings,2010-11,82,47,25,0,10,104,43,.634,257,237,4,3.13,2.89,22.6,82.3,33.6,30.7,51.9
Nashville Predators,2014-15,82,47,25,0,10,104,41,.634,226,202,6,2.76,2.46,16.2,80.8,31.9,28.3,48.9
Montréal Canadiens,2007-08,82,47,25,0,10,104,42,.634,257,216,5,3.13,2.63,24.3,82.5,29.1,31.6,49.0
Chicago Blackhawks,2015-16,82,47,26,0,9,103,46,.628,234,207,1,2.85,2.52,22.6,80.3,30.5,30.8,49.3
Philadelphia Flyers,2011-12,82,47,26,0,9,103,43,.628,260,225,4,3.17,2.74,19.7,81.8,32.2,28.4,48.3
Florida Panthers,2015-16,82,47,26,0,9,103,40,.628,232,200,7,2.83,2.44,16.9,79.5,28.8,29.5,50.1
Anaheim Ducks,2007-08,82,47,27,0,8,102,39,.622,197,184,8,2.40,2.24,16.6,83.1,27.3,28.0,50.2
Pittsburgh Penguins,2007-08,82,47,27,0,8,102,40,.622,240,212,7,2.93,2.59,20.4,81.0,27.7,30.8,46.1
Pittsburgh Penguins,2009-10,82,47,28,0,7,101,39,.616,249,235,8,3.04,2.87,16.9,84.1,32.8,28.7,49.3
New York Islanders,2014-15,82,47,28,0,7,101,40,.616,245,224,7,2.99,2.73,18.7,78.0,33.8,28.3,49.2
Nashville Predators,2009-10,82,47,29,0,6,100,39,.610,217,221,8,2.65,2.70,16.4,77.1,30.6,29.2,49.2
Anaheim Ducks,2010-11,82,47,30,0,5,99,43,.604,235,233,4,2.87,2.84,23.9,81.3,28.5,32.3,47.7
Dallas Stars,2002-03,82,46,17,15,4,111,0,.677,245,169,0,2.99,2.06,19.0,85.5,30.1,25.3,50.2
New Jersey Devils,2002-03,82,46,20,10,6,108,0,.659,216,166,0,2.63,2.02,11.9,87.9,31.7,23.6,50.7
Chicago Blackhawks,2013-14,82,46,21,0,15,107,40,.652,261,212,6,3.18,2.59,19.1,81.5,33.1,27.2,52.0
Tampa Bay Lightning,2003-04,82,46,22,8,6,106,0,.646,245,192,0,2.99,2.34,15.9,84.9,30.0,25.4,50.0
Chicago Blackhawks,2008-09,82,46,24,0,12,104,42,.634,260,209,4,3.17,2.55,19.3,80.6,32.7,28.6,48.1
Boston Bruins,2010-11,82,46,25,0,11,103,44,.628,244,189,2,2.98,2.30,16.2,82.6,32.9,32.7,51.9
Anaheim Ducks,2015-16,82,46,25,0,11,103,43,.628,215,188,3,2.62,2.29,23.1,87.2,30.3,27.5,51.9
Calgary Flames,2005-06,82,46,25,0,11,103,44,.628,216,193,2,2.63,2.35,18.0,84.3,28.0,27.6,50.4
Tampa Bay Lightning,2010-11,82,46,25,0,11,103,40,.628,241,234,6,2.94,2.85,20.5,83.8,31.8,28.7,50.4
Los Angeles Kings,2009-10,82,46,27,0,9,101,36,.616,231,211,10,2.82,2.57,20.5,80.3,29.1,27.6,50.6
New York Rangers,2015-16,82,46,27,0,9,101,43,.616,233,215,3,2.84,2.62,18.6,78.2,28.5,30.4,49.2
Tampa Bay Lightning,2013-14,82,46,27,0,9,101,38,.616,232,209,8,2.83,2.55,18.1,80.7,29.8,29.2,49.2
New Jersey Devils,2005-06,82,46,27,0,9,101,37,.616,233,225,9,2.84,2.74,17.5,81.9,29.2,29.3,49.5
Los Angeles Kings,2013-14,82,46,28,0,8,100,38,.610,198,168,8,2.41,2.05,14.8,83.1,31.6,26.2,52.8
Montréal Canadiens,2013-14,82,46,28,0,8,100,40,.610,209,201,6,2.55,2.45,16.5,85.1,28.4,31.0,49.6
Minnesota Wild,2014-15,82,46,28,0,8,100,42,.610,227,198,4,2.77,2.41,15.8,86.3,30.8,27.6,49.9
New Jersey Devils,2007-08,82,46,29,0,7,99,38,.604,198,193,8,2.41,2.35,15.6,82.8,28.8,27.5,50.4
Buffalo Sabres,2000-01,82,46,30,5,1,98,0,.598,218,184,0,2.66,2.24,15.8,88.0,26.9,26.8,50.0
San Jose Sharks,2015-16,82,46,30,0,6,98,42,.598,237,207,4,2.89,2.52,22.5,80.5,30.4,27.4,50.7
Calgary Flames,2008-09,82,46,30,0,6,98,43,.598,251,246,3,3.06,3.00,17.0,83.4,32.2,29.8,51.3
Los Angeles Kings,2010-11,82,46,30,0,6,98,36,.598,209,196,10,2.55,2.39,15.8,85.5,28.8,27.9,51.1
Tampa Bay Lightning,2015-16,82,46,31,0,5,97,43,.591,224,198,3,2.73,2.41,15.8,84.0,29.3,28.9,49.5
Philadelphia Flyers,2002-03,82,45,20,13,4,107,0,.652,211,166,0,2.57,2.02,14.3,85.2,30.9,24.6,52.2
Vancouver Canucks,2002-03,82,45,23,13,1,104,0,.634,264,208,0,3.22,2.54,20.8,84.1,29.1,26.6,49.8
Toronto Maple Leafs,2003-04,82,45,24,10,3,103,0,.628,242,204,0,2.95,2.49,20.1,83.4,27.5,26.4,52.1
Washington Capitals,2014-15,82,45,26,0,11,101,40,.616,237,199,5,2.89,2.43,25.3,81.2,29.5,28.9,51.2
Philadelphia Flyers,2005-06,82,45,26,0,11,101,41,.616,263,253,4,3.21,3.09,18.2,79.1,31.1,28.9,49.5
Chicago Blackhawks,2011-12,82,45,26,0,11,101,38,.616,241,231,7,2.94,2.82,15.2,78.1,31.5,28.6,50.5
Buffalo Sabres,2009-10,82,45,27,0,10,100,41,.610,231,201,4,2.82,2.45,17.6,86.6,31.6,31.4,48.6
New York Islanders,2015-16,82,45,27,0,10,100,40,.610,227,211,5,2.77,2.57,18.3,84.5,29.4,30.4,50.1
Vancouver Canucks,2008-09,82,45,27,0,10,100,42,.610,243,213,3,2.96,2.60,19.0,81.4,28.5,29.2,51.9
Colorado Avalanche,2001-02,82,45,28,8,1,99,0,.604,212,169,0,2.59,2.06,17.7,87.0,27.5,26.5,51.4
Pittsburgh Penguins,2008-09,82,45,28,0,9,99,39,.604,258,233,6,3.15,2.84,17.2,82.7,29.0,30.3,49.1
Carolina Hurricanes,2008-09,82,45,30,0,7,97,42,.591,236,221,3,2.88,2.70,18.4,80.4,32.6,29.5,51.3
Dallas Stars,2007-08,82,45,30,0,7,97,40,.591,237,204,5,2.89,2.49,18.4,85.6,26.7,26.1,50.4
Calgary Flames,2014-15,82,45,30,0,7,97,41,.591,237,213,4,2.89,2.60,18.0,80.6,27.5,29.2,47.4
New York Rangers,2013-14,82,45,31,0,6,96,41,.585,214,190,4,2.61,2.32,18.2,85.3,33.2,29.4,48.8
Detroit Red Wings,2009-10,82,44,24,0,14,102,38,.622,223,207,6,2.72,2.52,18.9,83.9,33.4,29.4,51.1
New York Rangers,2005-06,82,44,26,0,12,100,37,.610,250,211,7,3.05,2.57,18.9,83.7,29.9,28.8,47.5
San Jose Sharks,2005-06,82,44,27,0,11,99,43,.604,265,235,1,3.23,2.87,18.2,80.7,30.3,26.6,48.4
Philadelphia Flyers,2008-09,82,44,27,0,11,99,40,.604,260,232,4,3.17,2.83,22.5,83.0,29.8,32.5,48.3
San Jose Sharks,2001-02,82,44,27,8,3,99,0,.604,248,199,0,3.02,2.43,16.0,85.8,27.2,28.5,48.9
Nashville Predators,2010-11,82,44,27,0,11,99,38,.604,213,190,6,2.60,2.32,14.9,84.9,28.8,30.6,50.2
Toronto Maple Leafs,2002-03,82,44,28,7,3,98,0,.598,236,208,0,2.88,2.54,17.5,86.8,26.3,29.5,50.7
Minnesota Wild,2007-08,82,44,28,0,10,98,41,.598,220,210,3,2.68,2.56,18.9,85.2,27.0,30.1,47.3
Chicago Blackhawks,2010-11,82,44,29,0,9,97,38,.591,252,220,6,3.07,2.68,22.4,79.2,32.2,28.7,50.8
Montréal Canadiens,2010-11,82,44,30,0,8,96,41,.585,213,206,3,2.60,2.51,19.6,84.4,31.7,31.0,49.0
Colorado Avalanche,2006-07,82,44,31,0,7,95,39,.579,267,247,5,3.26,3.01,21.1,80.2,31.7,29.0,48.6
Colorado Avalanche,2007-08,82,44,31,0,7,95,37,.579,224,216,7,2.73,2.63,14.3,81.4,28.6,27.3,47.8
Ottawa Senators,2009-10,82,44,32,0,6,94,39,.573,220,233,5,2.68,2.84,16.9,84.3,29.7,28.5,49.3
New York Rangers,2010-11,82,44,33,0,5,93,35,.567,224,195,9,2.73,2.38,16.9,83.7,29.9,29.4,47.7
Tampa Bay Lightning,2006-07,82,44,33,0,5,93,34,.567,243,259,10,2.96,3.16,18.4,78.4,29.5,27.2,48.9
San Jose Sharks,2003-04,82,43,21,12,6,104,0,.634,219,183,0,2.67,2.23,16.6,85.3,28.0,28.9,48.4
St. Louis Blues,2000-01,82,43,22,12,5,103,0,.628,249,195,0,3.04,2.38,18.7,85.3,30.4,23.6,51.9
Ottawa Senators,2003-04,82,43,23,10,6,102,0,.622,262,189,0,3.20,2.30,21.3,83.6,29.5,24.9,47.1
Boston Bruins,2001-02,82,43,24,6,9,101,0,.616,236,201,0,2.88,2.45,13.8,87.1,31.7,25.1,47.9
Vancouver Canucks,2003-04,82,43,24,10,5,101,0,.616,235,194,0,2.87,2.37,15.0,86.0,29.0,26.6,51.2
Detroit Red Wings,2014-15,82,43,25,0,14,100,39,.610,231,211,4,2.82,2.57,23.5,80.9,29.6,28.3,51.5
New Jersey Devils,2003-04,82,43,25,12,2,100,0,.610,213,164,0,2.60,2.00,16.3,85.3,29.7,24.4,49.2
Toronto Maple Leafs,2001-02,82,43,25,10,4,100,0,.610,249,207,0,3.04,2.52,15.5,84.5,28.5,24.9,51.8
Philadelphia Flyers,2000-01,82,43,25,11,3,100,0,.610,240,207,0,2.93,2.52,15.7,82.5,29.9,26.1,50.3
Ottawa Senators,2014-15,82,43,26,0,13,99,37,.604,232,208,6,2.83,2.54,16.8,82.9,31.0,32.1,48.2
Phoenix Coyotes,2010-11,82,43,26,0,13,99,38,.604,226,220,5,2.76,2.68,15.9,78.4,30.3,32.6,51.5
Winnipeg Jets,2014-15,82,43,26,0,13,99,36,.604,223,204,7,2.72,2.49,17.5,81.8,29.7,28.7,48.9
Anaheim Ducks,2005-06,82,43,27,0,12,98,40,.598,251,222,3,3.06,2.71,18.1,83.5,31.5,29.6,50.7
Pittsburgh Penguins,2014-15,82,43,27,0,12,98,39,.598,217,204,4,2.65,2.49,19.3,84.8,31.6,29.3,49.1
